,0
-68.9209448332,492.148013596
-75.8746740575,501.323078263
-80.9309211642,504.643335515
-101.861692982,527.692410598
-111.125572386,537.147214106
-109.440830661,547.246641903
-106.806796197,548.098009737
-97.5982426341,549.430740408
-88.9312279526,547.945241257
-84.9175150276,554.015008425
-81.7123042258,553.644789736
-76.86871491,552.412342638
-72.0234033408,550.471989333
-73.1584586708,550.36766019
-82.2153082373,546.120181962
-85.9023515046,540.451105266
-81.8130884663,539.488611872
-86.3907695792,545.618440562
-92.7758673246,544.306170718
-90.8589887731,544.73940992
-84.694932949,540.03778898
-87.4214583094,528.3871047
-100.501639976,523.279097872
-103.894505039,539.564670021
-103.612551548,544.342101821
-115.908646349,553.662062468
-130.984267348,562.471425383
-143.656400691,563.217018904
-153.077202939,562.372438526
-159.733247685,566.029011992
-154.608461091,582.545033226
-149.003255055,586.884805045
-149.590539133,585.546977265
-151.88914644,583.179622831
-153.308609911,579.19711973
-154.930535171,575.099743581
-166.497387385,633.867821829
-178.190692082,662.824314964
-181.109095664,667.989747302
-183.499539182,661.53322721
-183.764940787,654.778084084
-192.715057817,647.326307529
-199.404173593,644.829551706
-207.47743079,633.411068442
-207.538251943,631.440163161
-201.834854922,643.446236975
-192.517226659,643.364993836
-192.42131065,633.232832962
-180.828027169,626.988841509
-174.729754406,614.22247806
-170.098290084,600.870730026
-171.652175827,590.979473251
-174.782626733,586.012263446
-180.256873542,581.672375108
-229.613439116,653.996446721
-254.026160979,689.217425046
-263.402225971,697.30430538
-282.133921946,701.992357647
-284.815153053,704.791474435
-281.871882675,699.741305824
-270.239829195,686.432717606
-237.642123376,686.031317459
-222.309919476,674.504097576
-207.332997631,663.512312665
-156.59590659,675.11473703
-118.414924919,703.983620118
-97.9736185864,709.234921566
-84.848450794,707.009582995
-81.8144374757,713.523042333
-75.4726952757,711.75355754
-74.1954770273,707.946695371
-86.9987452424,704.048222568
-98.478855047,695.570194954
-102.86218305,732.545704886
-107.73027537,750.783073362
-108.878895728,762.421999507
-104.4621048,767.506513231
-108.513524188,760.476093817
-98.7497547664,753.934598702
-99.9216123836,748.191347889
-104.572139339,739.480567954
-109.59963512,726.920403674
-111.830994993,710.067493092
-114.900724474,699.071839135
-108.04350965,688.803806761
-107.78432551,675.37142901
-126.893223051,763.210315186
-133.874375911,815.623761389
-145.199778644,829.129108815
-143.279412037,839.08711537
-131.769381659,843.720479062
-126.804507072,837.449559782
-138.409402689,853.724781356
-140.988674933,862.141532389
-145.6345686,860.069641757
-153.354393791,842.271270328
-166.317519474,1032.2175445
-168.304954417,1129.67142617
-155.787310226,1161.90665387
-153.177396133,1149.50655164
-144.856615035,1129.09072715
-94.9990049038,1176.56158749
-64.37486545,1194.65620292
-53.1382270087,1201.9290024
-43.8641540488,1182.48062627
-38.673796554,1174.26012816
-47.5867367252,1157.14443224
-58.1470173204,1134.06119572
-64.6005738791,1117.95277977
-75.6445721075,1095.11822683
-86.7170458169,1074.74347002
-94.0977700167,1055.61338364
-100.332780879,1033.32180645
-116.995121794,1003.25386164
-119.590040991,986.194638273
-112.39568138,978.411144863
-100.155581969,1000.54506917
-96.6130936585,1003.06089293
-97.944202532,993.520904215
-92.0345900402,974.416895166
-88.4806572992,953.684443683
-86.6878807043,933.738466403
-85.076115447,921.779818132
-86.0558711159,909.517755002
-90.4205774971,896.583801166
-117.516490184,1009.19147896
-138.440826667,1057.20500423
-147.748698759,1061.17211998
115.269203027,1519.91962958
258.978916152,1759.72201196
316.047533614,1844.76769829
333.137819513,1837.99972322
338.595913127,1801.19297524
324.336002859,1742.52776389
309.457312943,1682.17485075
290.705535258,1620.4128466
279.400963527,1558.40925899
266.260300785,1507.21492172
256.527780078,1455.39923724
256.445179499,1414.73343628
247.748596991,1374.21837058
231.005343437,1331.36765135
214.690949453,1290.74136171
197.95519599,1252.23273863
185.533263853,1220.31411749
168.332570472,1191.39722842
143.010626979,1161.75758482
127.092517183,1133.82282722
99.2379039056,1110.04498767
8.45767513706,1141.58829979
-46.1901378535,1178.54057094
-83.0137818639,1261.57735279
-102.346918698,1565.98039975
-114.903877868,1742.96895734
-130.184434308,1853.49748492
-149.626781887,1929.60986364
-324.850020511,2408.88604446
-571.124105655,2850.17675837
-926.533554673,3290.28368237
-1538.81905802,3799.59261041
-2580.56482944,4442.73466821
-4108.0505552,5352.13078816
-6352.26939212,6474.79490826
-9402.38204078,7871.32564457
-13005.1025001,9394.05064849
-17260.7464837,11388.024526
-22001.7725341,13819.4253651
-26753.2883441,16759.6558313
-31296.3332812,19912.7923275
-35734.7525003,23085.0730468
-38719.323743,25672.1018639
